"HS_Code","ALG1","GEO","ALG2","Pre-Cal","N/A","N/A","PLACEMENT_SCORE"
111,95,100,93,NC,NC,NC,15,111
173,100,96,97,NC,NC,NC,15,111
81,99,98,97,95,NC,NC,15,201
43,95,96,92,97,NC,NC,15.5,201
160,NC,96,96,98,NC,NC,15.5,201
184,100,97,94,86,88,NC,15.5,201
67,99,97,100,IP,NC,NC,15.5,201
126,97,100,99,IP,NC,NC,15.5,201
120,100,98,100,96,NC,NC,15.5,201
4,NC,92,91,IP,93,NC,16,201
84,97,94,91,93,NC,NC,16,201
84,96,92,96,100,NC,NC,16,201
110,95,92,99,IP,NC,NC,16,201
84,96,97,95,98,NC,NC,16,201
189,98,92,98,98,NC,NC,16,201
97,96,97,98,95,NC,NC,16,201
126,98,98,100,IP,NC,NC,16,201
21,100,99,100,97,NC,NC,16,201
178,96,97,93,,NC,NC,16.5,111
199,96,97,97,97,NC,NC,16.5,201
177,NC,97,99,IP,NC,NC,16.5,201
160,NC,NC,99,99,NC,NC,16.5,201
62,99,100,100,NC,NC,NC,16.5,111
106,100,100,99,NC,99,NC,16.5,111
198,99,100,100,NC,NC,NC,16.5,111
160,97,95,97,99,NC,NC,17,201
76,95,99,98,IP,NC,NC,17,201
148,100,100,98,98,NC,NC,17,201
10,99,100,100,NC,NC,NC,17,111
70,96,96,91,99,NC,NC,17.5,201
47,NC,NC,100,100,NC,NC,17.5,201
178,95,99,94,NC,NC,NC,18,111
165,96,96,98,92,NC,NC,18,201
168,98,97,99,96,NC,NC,18,201
179,97,100,97,IP,IP,NC,18,201
55,100,98,97,IP,NC,NC,18,201
177,100,99,IP,NC,NC,NC,18,111
149,99,100,100,NC,98,NC,18,111
21,98,99,98,IP,NC,NC,18.5,201
57,99,97,99,96,NC,NC,18.5,201
172,91,87,97,NC,NC,NC,19,111
60,88,98,IP,NC,NC,NC,19,111
135,95,88,97,NC,NC,NC,19,111
181,NC,94,94,96,NC,NC,19,201
106,96,IP,95,NC,88,NC,19,111
1,97,99,98,NC,NC,NC,19,111
62,96,96,100,100,NC,NC,19.5,201
69,96,100,97,100,NC,NC,19.5,201
98,93,96,89,97,NC,NC,20,201
57,96,93,95,93,NC,NC,20.5,201
184,92,97,95,IP,IP,91,20.5,201
34,97,94,94,94,NC,NC,20.5,201
186,97,98,99,IP,NC,NC,20.5,201
66,100,99,100,IP,NC,NC,21,201
159,100,100,100,NC,NC,NC,21,111
180,100,100,100,NC,NC,NC,21,201
21,98,96,100,100,NC,NC,21.5,203
84,96,98,98,98,NC,NC,22,203
66,98,98,98,IP,NC,NC,22,203
174,98,99,98,NC,NC,NC,22,203
21,99,98,100,NC,NC,NC,22,203
62,98,100,99,NC,NC,NC,22,201
165,100,100,100,98,NC,NC,22,203
66,99,96,99,IP,NC,NC,22.5,203
69,98,98,98,NC,NC,NC,22.5,201
140,97,97,97,NC,79,NC,23,201
197,95,98,100,IP,NC,NC,23,203
55,100,100,96,IP,NC,NC,23.5,203
75,100,99,97,98,NC,NC,23.5,203
69,99,100,100,100,NC,IP,23.5,203
73,97,99,97,100,98,NC,26,203
21,100,100,100,IP,NC,NC,26,203
75,100,99,97,95,NC,NC,26.5,203
106,100,100,100,NC,98,NC,26.5,203
141,99,100,97,98,NC,NC,27,203
160,98,99,99,100,NC,NC,27,203
54,100,100,100,IP,NC,NC,27.5,203
177,100,100,100,IP,NC,NC,27.5,203
34,100,100,NC,100,NC,NC,30,203
77,NC,NC,98,94,NC,NC,31,203
73,100,100,100,100,99,NC,32,203}
